Filename,P_BEAM_WIDTH,P_EN,P_EVALUATION,P_QUEUE_SIZE,P_SLICE,P_SN,P_THRESHOLD,Result Size,Execution Time (sec),Used pmode=2
result_SN2_EN12_SLICE3_BEAM_WIDTH262144_THRESHOLD22_EVALUATION1_202603d_224454.txt,262144,12,1,,3,2,22,67,45.215,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD22_SN7_EN11_202603d_025245.txt,262144,11,3,,1,7,22,69,45.231,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN7_EN11_202603d_045626.txt,262144,11,3,,2,7,18,70,45.292,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN6_EN15_202603d_045424.txt,262144,15,3,,2,6,18,67,45.586,False
result_BEAM_WIDTH262144_SLICE1_EVALUATION1_THRESHOLD18_SN2_EN10_202603d_232340.txt,262144,10,1,,1,2,18,71,45.698,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD16_SN5_EN13_202603d_040539.txt,262144,13,3,,2,5,16,65,45.847,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD20_SN6_EN11_202603d_053022.txt,262144,11,3,,2,6,20,70,45.935,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN6_EN13_202603d_065127.txt,262144,13,3,,2,6,24,71,45.935,False
result_SN2_EN10_SLICE3_BEAM_WIDTH262144_THRESHOLD20_EVALUATION1_202603d_220957.txt,262144,10,1,,3,2,20,70,45.947,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD24_SN7_EN11_202603d_033522.txt,262144,11,3,,1,7,24,69,45.983,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN5_EN14_202603d_044659.txt,262144,14,3,,2,5,18,64,46.063,False
result_SN2_EN10_SLICE3_BEAM_WIDTH262144_THRESHOLD24_EVALUATION2_202603d_221517.txt,262144,10,2,,3,2,24,71,46.293,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN7_EN15_202603d_050044.txt,262144,15,3,,2,7,18,72,46.384,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD16_SN6_EN10_202603d_040917.txt,262144,10,3,,2,6,16,65,46.442,False
result_SN2_EN10_SLICE1_BEAM_WIDTH262144_THRESHOLD22_EVALUATION1_202603d_215934.txt,262144,10,1,,1,2,22,69,46.475,False
result_SN2_EN10_SLICE2_BEAM_WIDTH262144_THRESHOLD24_EVALUATION2_202603d_220855.txt,262144,10,2,,2,2,24,71,46.486,False
result_SN2_EN12_SLICE3_BEAM_WIDTH262144_THRESHOLD20_EVALUATION2_202603d_224351.txt,262144,12,2,,3,2,20,72,46.76,False
result_SN2_EN10_SLICE2_BEAM_WIDTH262144_THRESHOLD24_EVALUATION1_202603d_220755.txt,262144,10,1,,2,2,24,73,46.841,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD20_SN7_EN15_202603d_054114.txt,262144,15,3,,2,7,20,68,46.851,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD20_SN7_EN10_202603d_053545.txt,262144,10,3,,2,7,20,72,46.867,False
result_SN2_EN10_SLICE64_BEAM_WIDTH262144_THRESHOLD22_EVALUATION2_202603d_222531.txt,262144,10,2,,64,2,22,82,46.906,False
result_SN2_EN12_SLICE2_BEAM_WIDTH262144_THRESHOLD20_EVALUATION2_202603d_223657.txt,262144,12,2,,2,2,20,69,46.928,False
